Site_ID,Grade_Description,Date,Profit
10808,Unleaded Gas,2019-12-31,20.0
10808,Unleaded Gas,2020-01-01,25.0
10808,Unleaded Gas,2020-01-02,40.0
10808,Unleaded Gas,2020-01-03,57.0
10808,Unleaded Gas,2020-01-04,34.0
10808,Unleaded Gas,2020-01-05,34.0
10808,Unleaded Gas,2020-01-06,34.0
10808,Unleaded Gas,2020-01-07,37.0
10808,Unleaded Gas,2020-01-08,113.0
10808,Unleaded Gas,2020-01-09,151.0
10808,Unleaded Gas,2020-01-10,158.0
10808,Unleaded Gas,2020-01-11,75.0
10808,Unleaded Gas,2020-01-12,47.0
10808,Unleaded Gas,2020-01-13,113.0
10808,Unleaded Gas,2020-01-14,110.0
10808,Unleaded Gas,2020-01-15,121.0
10808,Unleaded Gas,2020-01-16,100.0
10808,Unleaded Gas,2020-01-17,160.0
10808,Unleaded Gas,2020-01-18,101.0
10808,Unleaded Gas,2020-01-19,75.0
10808,Unleaded Gas,2020-01-20,113.0
10808,Unleaded Gas,2020-01-21,126.0
10808,Unleaded Gas,2020-01-22,129.0
10808,Unleaded Gas,2020-01-23,130.0
10808,Unleaded Gas,2020-01-24,104.0
10808,Unleaded Gas,2020-01-25,115.0
10808,Unleaded Gas,2020-01-26,94.0
10808,Unleaded Gas,2020-01-27,79.0
10808,Unleaded Gas,2020-01-28,75.0
10808,Unleaded Gas,2020-01-29,99.0
10808,Unleaded Gas,2020-01-30,120.0
10808,Unleaded Gas,2020-01-31,116.0
10808,Unleaded Gas,2020-02-01,116.0
10808,Unleaded Gas,2020-02-02,49.0
10808,Unleaded Gas,2020-02-03,107.0
10808,Unleaded Gas,2020-02-04,110.0
10808,Unleaded Gas,2020-02-05,48.0
10808,Unleaded Gas,2020-02-06,39.0
10808,Unleaded Gas,2020-02-07,65.0
10808,Unleaded Gas,2020-02-08,57.0
10808,Unleaded Gas,2020-02-09,37.0
10808,Unleaded Gas,2020-02-10,61.0
10808,Unleaded Gas,2020-02-11,41.0
10808,Unleaded Gas,2020-02-12,44.0
10808,Unleaded Gas,2020-02-13,49.0
10808,Unleaded Gas,2020-02-14,10.0
10808,Unleaded Gas,2020-02-15,6.0
10808,Unleaded Gas,2020-02-16,-8.0
10808,Unleaded Gas,2020-02-17,-15.0
10808,Unleaded Gas,2020-02-18,-12.0
10808,Unleaded Gas,2020-02-19,-15.0
10808,Unleaded Gas,2020-02-20,-84.0
10808,Unleaded Gas,2020-02-22,-165.0
10808,Unleaded Gas,2020-02-23,-102.0
10808,Unleaded Gas,2020-02-24,-132.0
10808,Unleaded Gas,2020-02-25,-106.0
10808,Unleaded Gas,2020-02-26,-135.0
10808,Unleaded Gas,2020-02-27,-150.0
10808,Unleaded Gas,2020-02-28,-181.0
10808,Unleaded Gas,2020-02-29,0.0
10808,Unleaded Gas,2020-03-01,107.0
10808,Unleaded Gas,2020-03-02,140.0
10808,Unleaded Gas,2020-03-03,74.0
10808,Unleaded Gas,2020-03-04,75.0
10808,Unleaded Gas,2020-03-05,85.0
10808,Unleaded Gas,2020-03-06,92.0
10808,Unleaded Gas,2020-03-07,59.0
10808,Unleaded Gas,2020-03-08,132.0
10808,Unleaded Gas,2020-03-09,205.0
10808,Unleaded Gas,2020-03-14,211.0
10808,Unleaded Gas,2020-03-21,286.0
10808,Unleaded Gas,2020-03-22,245.0
10808,Unleaded Gas,2020-03-24,363.0
10808,Unleaded Gas,2020-03-29,240.0
10808,Unleaded Gas,2020-03-30,283.0
10808,Unleaded Gas,2020-04-02,307.18
10808,Unleaded Gas,2020-04-03,282.41
10808,Unleaded Gas,2020-04-04,239.18
10808,Unleaded Gas,2020-04-05,110.29
10808,Unleaded Gas,2020-04-06,254.82
10808,Unleaded Gas,2020-04-07,281.85
10808,Unleaded Gas,2020-04-08,214.2
10808,Unleaded Gas,2020-04-09,302.72
10808,Unleaded Gas,2020-04-10,351.71
10808,Unleaded Gas,2020-04-11,218.37
10808,Unleaded Gas,2020-04-12,181.26
10808,Unleaded Gas,2020-04-13,261.2
10808,Unleaded Gas,2020-04-14,214.61
10808,Unleaded Gas,2020-04-15,325.71
10808,Unleaded Gas,2020-04-16,232.02
