Site_ID,Grade_Description,Date,Price,Fuel Cost
10808,Premium Gas,5/4/2019,3.049,2.237943353
10808,Unleaded Gas,5/4/2019,2.499,2.0265
10808,Midgrade Gas,5/5/2019,2.859,2.132088521
10808,Premium Gas,5/5/2019,3.049,2.239236052
10808,Unleaded Gas,5/5/2019,2.499,2.0265
10808,Midgrade Gas,5/6/2019,2.859,2.075048317
10808,Premium Gas,5/6/2019,3.049,2.177747126
10808,Unleaded Gas,5/6/2019,2.499,1.9966
10808,Midgrade Gas,5/7/2019,2.859,2.064129674
10808,Premium Gas,5/7/2019,3.049,2.121571606
10808,Unleaded Gas,5/7/2019,2.499,1.9487
10808,Midgrade Gas,5/8/2019,2.859,2.059733739
10808,Premium Gas,5/8/2019,3.049,2.172137933
10808,Unleaded Gas,5/8/2019,2.499,1.975
10808,Midgrade Gas,5/9/2019,2.859,2.077236711
10808,Premium Gas,5/9/2019,3.049,2.205006715
10808,Unleaded Gas,5/9/2019,2.499,1.9754
10808,Midgrade Gas,5/10/2019,2.859,2.073158052
10808,Premium Gas,5/10/2019,3.049,2.180686005
10808,Unleaded Gas,5/10/2019,2.499,1.9891
10808,Midgrade Gas,5/11/2019,2.859,2.102605352
10808,Premium Gas,5/11/2019,3.049,2.203082401
10808,Unleaded Gas,5/11/2019,2.499,1.9891
10808,Midgrade Gas,5/12/2019,2.859,2.082280342
10808,Premium Gas,5/12/2019,3.049,2.211865901
10808,Unleaded Gas,5/12/2019,2.499,1.9891
10808,Midgrade Gas,5/13/2019,2.859,2.071303549
10808,Premium Gas,5/13/2019,3.049,2.185073316
10808,Unleaded Gas,5/13/2019,2.499,1.9637
10808,Midgrade Gas,5/14/2019,2.859,2.092163362
10808,Premium Gas,5/14/2019,3.049,2.205101102
10808,Unleaded Gas,5/14/2019,2.499,1.9767
10808,Midgrade Gas,5/15/2019,2.859,2.134491189
10808,Premium Gas,5/15/2019,3.049,2.188375105
10808,Unleaded Gas,5/15/2019,2.499,2.0127
10808,Midgrade Gas,5/16/2019,2.859,2.142728528
10808,Premium Gas,5/16/2019,3.049,2.281412929
10808,Unleaded Gas,5/16/2019,2.499,2.0618
10808,Midgrade Gas,5/17/2019,2.859,2.144345593
10808,Premium Gas,5/17/2019,3.049,2.256632223
10808,Unleaded Gas,5/17/2019,2.499,2.0473
10808,Midgrade Gas,5/18/2019,2.859,2.14698252
10808,Premium Gas,5/18/2019,3.049,2.268271206
10808,Unleaded Gas,5/18/2019,2.499,2.0473
10808,Midgrade Gas,5/19/2019,2.859,2.134541032
10808,Premium Gas,5/19/2019,3.049,2.250552414
10808,Unleaded Gas,5/19/2019,2.499,2.0473
10808,Midgrade Gas,5/20/2019,2.859,2.131219317
10808,Premium Gas,5/20/2019,3.049,2.224537801
10808,Unleaded Gas,5/20/2019,2.499,2.0099
10808,Midgrade Gas,5/21/2019,2.859,2.092790418
10808,Premium Gas,5/21/2019,3.049,2.243994593
10808,Unleaded Gas,5/21/2019,2.499,2.0193
10808,Midgrade Gas,5/22/2019,2.859,2.102496961
10808,Premium Gas,5/22/2019,3.049,2.209699415
10808,Unleaded Gas,5/22/2019,2.499,1.9912
10808,Midgrade Gas,5/23/2019,2.859,2.000247517
10808,Premium Gas,5/23/2019,3.049,2.08692575
10808,Unleaded Gas,5/23/2019,2.499,1.9133
10808,Midgrade Gas,5/24/2019,2.819,2.062583037
10808,Premium Gas,5/24/2019,3.009,2.131302108
10808,Unleaded Gas,5/24/2019,2.459,1.9345
10808,Midgrade Gas,5/25/2019,2.819,2.030379001
10808,Premium Gas,5/25/2019,3.009,2.133080734
10808,Unleaded Gas,5/25/2019,2.459,1.9345
10808,Midgrade Gas,5/26/2019,2.819,2.030497606
10808,Premium Gas,5/26/2019,3.009,2.14365053
10808,Unleaded Gas,5/26/2019,2.459,1.9345
10808,Midgrade Gas,5/27/2019,2.819,2.053074266
10808,Premium Gas,5/27/2019,3.009,2.148462967
10808,Unleaded Gas,5/27/2019,2.459,1.9345
10808,Midgrade Gas,5/28/2019,2.819,2.047612894
10808,Premium Gas,5/28/2019,3.009,2.151742539
10808,Unleaded Gas,5/28/2019,2.459,1.9567
10808,Midgrade Gas,5/29/2019,2.819,2.064356148
10808,Premium Gas,5/29/2019,3.009,2.136594871
10808,Unleaded Gas,5/29/2019,2.459,1.9452
10808,Midgrade Gas,5/30/2019,2.859,1.969325555
10808,Premium Gas,5/30/2019,3.049,2.10382938
10808,Unleaded Gas,5/30/2019,2.499,1.8786
10808,Midgrade Gas,5/31/2019,2.859,1.919124086
10808,Premium Gas,5/31/2019,3.049,2.03165884
10808,Unleaded Gas,5/31/2019,2.499,1.802
10808,Midgrade Gas,6/1/2019,2.819,1.896621442
10808,Premium Gas,6/1/2019,3.009,1.990610852
10808,Unleaded Gas,6/1/2019,2.459,1.802
10808,Midgrade Gas,6/2/2019,2.819,1.918634931
10808,Premium Gas,6/2/2019,3.009,2.027613289
10808,Unleaded Gas,6/2/2019,2.459,1.802
10808,Midgrade Gas,6/3/2019,2.759,1.863750604
10808,Premium Gas,6/3/2019,2.949,1.948349006
10808,Unleaded Gas,6/3/2019,2.399,1.7413
10808,Midgrade Gas,6/4/2019,2.759,1.801614661
10808,Premium Gas,6/4/2019,2.949,1.917036646
10808,Unleaded Gas,6/4/2019,2.399,1.7242
10808,Midgrade Gas,6/5/2019,2.719,1.795983489
10808,Premium Gas,6/5/2019,2.909,1.8834093
10808,Unleaded Gas,6/5/2019,2.359,1.6928
10808,Midgrade Gas,6/6/2019,2.719,1.827852604
10808,Premium Gas,6/6/2019,2.909,1.9022742
10808,Unleaded Gas,6/6/2019,2.359,1.7076
10808,Midgrade Gas,6/7/2019,2.659,1.829802215
10808,Premium Gas,6/7/2019,2.849,1.953863241
10808,Unleaded Gas,6/7/2019,2.299,1.7389
10808,Midgrade Gas,6/8/2019,2.659,1.813040818
10808,Premium Gas,6/8/2019,2.849,1.934308495
10808,Unleaded Gas,6/8/2019,2.299,1.7389
10808,Midgrade Gas,6/9/2019,2.659,1.829997538
10808,Premium Gas,6/9/2019,2.849,1.941037089
10808,Unleaded Gas,6/9/2019,2.299,1.7389
10808,Midgrade Gas,6/10/2019,2.659,1.857657056
10808,Premium Gas,6/10/2019,2.849,1.947280457
10808,Unleaded Gas,6/10/2019,2.299,1.7303
10808,Midgrade Gas,6/11/2019,2.659,1.87296241
10808,Premium Gas,6/11/2019,2.849,1.947874664
10808,Unleaded Gas,6/11/2019,2.299,1.7563
10808,Midgrade Gas,6/12/2019,2.659,1.808500423
10808,Premium Gas,6/12/2019,2.849,1.870369464
10808,Unleaded Gas,6/12/2019,2.299,1.6861
10808,Midgrade Gas,6/13/2019,2.619,1.846062078
10808,Premium Gas,6/13/2019,2.809,1.921551013
10808,Unleaded Gas,6/13/2019,2.259,1.7199
10808,Midgrade Gas,6/14/2019,2.619,1.81595869
10808,Premium Gas,6/14/2019,2.809,1.952594109
10808,Unleaded Gas,6/14/2019,2.259,1.7325
10808,Midgrade Gas,6/15/2019,2.609,1.818081074
