LocationID,ShipToNumber,StoreBrand,FuelBrand,ShipToCity,ShipToState,ShipToCountry,Latitude,Longitude
760,937314300,Exxon,Exxon,CLARKSVILLE,VA,US,36.6248,-78.55649
761,119776300,Exxon,Exxon,CHASE CITY,VA,US,36.79806,-78.46337
762,809134000,Exxon,Exxon,KENBRIDGE,VA,US,36.96446,-78.12326
763,533273900,Exxon,Exxon,NORTH CHESTERFIELD,VA,US,37.44383,-77.58029
764,132049800,Exxon,Exxon,RICHMOND,VA,US,37.53489,-77.56143
765,39789300,Exxon,Exxon,RICHMOND,VA,US,37.56202,-77.46931
766,75697300,Exxon,Exxon,CHESTERFIELD,VA,US,37.37455,-77.51026
767,804389500,Exxon,Exxon,RICHMOND,VA,US,37.52091,-77.48781
768,306492000,Exxon,Exxon,RICHMOND,VA,US,37.53591,-77.42585
769,774041800,Exxon,Exxon,RICHMOND,VA,US,37.60061,-77.45412
770,141459800,Exxon,Exxon,MIDLOTHIAN,VA,US,37.50529,-77.61178
771,316516400,Exxon,Exxon,RICHMOND,VA,US,37.59472,-77.56641
772,990942500,Exxon,Exxon,RICHMOND,VA,US,37.64048,-77.63093
773,700598600,Exxon,Exxon,MECHANICSVILLE,VA,US,37.63696,-77.33708
774,516711900,Exxon,Exxon,PETERSBURG,VA,US,37.15348,-77.35603
775,571751700,Exxon,Exxon,CHESTER,VA,US,37.38395,-77.45289
776,820047900,Exxon,Exxon,CHESTER,VA,US,37.35486,-77.40852
777,41762600,Exxon,Exxon,RICHMOND,VA,US,37.40177,-77.42282
778,991497900,Exxon,Exxon,CHESTERFIELD,VA,US,37.28599,-77.62112
779,364576900,Exxon,Exxon,RICHMOND,VA,US,37.63001,-77.5354
780,99354300,Exxon,Exxon,RICHMOND,VA,US,37.51724,-77.35532
781,860658400,Exxon,Exxon,RICHMOND,VA,US,37.47314,-77.52525
782,265565200,Exxon,Exxon,RICHMOND,VA,US,37.61322,-77.49649
783,124349200,Exxon,Exxon,RICHMOND,VA,US,37.55016,-77.46841
784,919954800,Exxon,Exxon,LANEXA,VA,US,37.48147,-76.91526
785,341432300,Exxon,Exxon,STAFFORD,VA,US,38.47463,-77.418
786,102221900,Exxon,Exxon,MANASSAS,VA,US,38.61217,-77.37451
